glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
021b3e22-e57b-4c0e-a8dc-e3ed898c8a8d-8601c516-a301-4f29-8dad-8dc71a1881ee,2020-12-21,First new bill in 8 months from vendor 8601c516-a301-4f29-8dad-8dc71a1881ee,vendor_not_seen_in_a_while,invoice,021b3e22-e57b-4c0e-a8dc-e3ed898c8a8d,8601c516-a301-4f29-8dad-8dc71a1881ee
efcadc95-c854-43e6-bfd9-36c26fd0f3bf-014deb41-8f37-4f50-81b2-856e7fea015e,2020-12-21,First new bill in 8 months from vendor 014deb41-8f37-4f50-81b2-856e7fea015e,vendor_not_seen_in_a_while,invoice,efcadc95-c854-43e6-bfd9-36c26fd0f3bf,014deb41-8f37-4f50-81b2-856e7fea015e
54d07a19-aaa8-4415-b6f7-28cf216d0414-39d309ff-4df2-4b8e-8a2e-d055dd668984,2020-12-21,First new bill in 8 months from vendor 39d309ff-4df2-4b8e-8a2e-d055dd668984,vendor_not_seen_in_a_while,invoice,54d07a19-aaa8-4415-b6f7-28cf216d0414,39d309ff-4df2-4b8e-8a2e-d055dd668984
3c5467ad-42d4-4878-8605-bfec26a3ba3e-cf13f8f1-6ca1-4fd9-aa96-ab9446719e21,2020-12-21,First new bill in 8 months from vendor cf13f8f1-6ca1-4fd9-aa96-ab9446719e21,vendor_not_seen_in_a_while,invoice,3c5467ad-42d4-4878-8605-bfec26a3ba3e,cf13f8f1-6ca1-4fd9-aa96-ab9446719e21
765a2e3f-c64c-4546-bb16-ea612cdb68a2-27184514-17c5-466d-9f68-e02253695bfa,2020-12-21,First new bill in 8 months from vendor 27184514-17c5-466d-9f68-e02253695bfa,vendor_not_seen_in_a_while,invoice,765a2e3f-c64c-4546-bb16-ea612cdb68a2,27184514-17c5-466d-9f68-e02253695bfa
314123f7-9f43-4b42-904c-4d41d53b0416-21fb3f80-6e2a-4558-8395-92291c594060,2020-12-21,First new bill in 8 months from vendor 21fb3f80-6e2a-4558-8395-92291c594060,vendor_not_seen_in_a_while,invoice,314123f7-9f43-4b42-904c-4d41d53b0416,21fb3f80-6e2a-4558-8395-92291c594060
755b9528-4baa-42be-a6fb-6230b80a8c6f-c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,2020-12-21,First new bill in 8 months from vendor c4f17ca4-2a0f-4141-b39b-a8862dc1dfda,vendor_not_seen_in_a_while,invoice,755b9528-4baa-42be-a6fb-6230b80a8c6f,c4f17ca4-2a0f-4141-b39b-a8862dc1dfda
f2de811b-7cd4-489f-ad8e-03f7b24b395e-28e56fde-ad44-4a12-8ac0-6a0ea7565313,2020-12-21,First new bill in 8 months from vendor 28e56fde-ad44-4a12-8ac0-6a0ea7565313,vendor_not_seen_in_a_while,invoice,f2de811b-7cd4-489f-ad8e-03f7b24b395e,28e56fde-ad44-4a12-8ac0-6a0ea7565313
