glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
46eee0b2-ef30-46e1-8fc5-98f16cf7fdc8-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 40240.09 (64%) higher than average,large_month_increase_mtd,vendor,46eee0b2-ef30-46e1-8fc5-98f16cf7fdc8,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
21fd0972-994d-4dbe-a714-711cf2b82d82-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 58562.5 (93%) higher than average,large_month_increase_mtd,vendor,21fd0972-994d-4dbe-a714-711cf2b82d82,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
052efd82-759c-4c1b-baa5-a7fddc4092b6-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 31850.84 (50%) higher than average,large_month_increase_mtd,vendor,052efd82-759c-4c1b-baa5-a7fddc4092b6,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
2119d528-374f-4237-826a-37978703470a-bcb3e007-f723-441a-8d9e-dd0c236fc25e,2020-12-21,Monthly spend with bcb3e007-f723-441a-8d9e-dd0c236fc25e is 137994.74 (218%) higher than average,large_month_increase_mtd,vendor,2119d528-374f-4237-826a-37978703470a,bcb3e007-f723-441a-8d9e-dd0c236fc25e
3a24dead-7a5a-44c0-8f72-6a039128d4a5-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,3a24dead-7a5a-44c0-8f72-6a039128d4a5,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
1d90f521-9628-4e56-9420-7a83ed249895-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 199357.14 (315%) higher than average,large_month_increase_mtd,vendor,1d90f521-9628-4e56-9420-7a83ed249895,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
3695b07d-5b4c-4a7f-aace-381848becb58-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 199182.93 (315%) higher than average,large_month_increase_mtd,vendor,3695b07d-5b4c-4a7f-aace-381848becb58,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
0ee0c1ff-3738-4a01-90cb-4ebb091b8bd1-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 42761.74 (68%) higher than average,large_month_increase_mtd,vendor,0ee0c1ff-3738-4a01-90cb-4ebb091b8bd1,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
6de5e78e-240b-4301-b329-a80e901b11a3-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 47407.77 (75%) higher than average,large_month_increase_mtd,vendor,6de5e78e-240b-4301-b329-a80e901b11a3,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
b2ac23e6-2cfa-49c1-b2c9-90aa8b9e54fb-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 39242.02 (62%) higher than average,large_month_increase_mtd,vendor,b2ac23e6-2cfa-49c1-b2c9-90aa8b9e54fb,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
b7884d5a-d21e-4e4e-804d-f56f3cb0c2d8-5563cff8-b050-45e9-89d3-eb079dfeb12a,2020-12-21,Monthly spend with 5563cff8-b050-45e9-89d3-eb079dfeb12a is 41950.32 (66%) higher than average,large_month_increase_mtd,vendor,b7884d5a-d21e-4e4e-804d-f56f3cb0c2d8,5563cff8-b050-45e9-89d3-eb079dfeb12a
57924a5a-e7bc-43f5-8f2b-c62cf0f92127-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,57924a5a-e7bc-43f5-8f2b-c62cf0f92127,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
cd71383a-a368-4904-81ce-acea758ff77f-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,cd71383a-a368-4904-81ce-acea758ff77f,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
fa86a788-bcac-44d0-b6ee-892416a44860-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,fa86a788-bcac-44d0-b6ee-892416a44860,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
1563c30d-5bee-4145-bd57-fdfecca98448-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,1563c30d-5bee-4145-bd57-fdfecca98448,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
feaac8a0-c760-445a-9b09-3bae4c47110b-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 66958.13 (106%) higher than average,large_month_increase_mtd,vendor,feaac8a0-c760-445a-9b09-3bae4c47110b,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
0deda9b8-868d-4f85-a775-3a4c7fe8f253-7ff29f8f-b6bd-4a93-b6f3-cfc23290848e,2020-12-21,Monthly spend with 7ff29f8f-b6bd-4a93-b6f3-cfc23290848e is 316600.0 (501%) higher than average,large_month_increase_mtd,vendor,0deda9b8-868d-4f85-a775-3a4c7fe8f253,7ff29f8f-b6bd-4a93-b6f3-cfc23290848e
13b822ac-34b4-4b5c-add0-db4f698f0ec0-0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,2020-12-21,Monthly spend with 0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0 is 38071.666666666664 (60%) higher than average,large_month_increase_mtd,vendor,13b822ac-34b4-4b5c-add0-db4f698f0ec0,0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0
d3be30b0-58dd-4ce7-aa71-a79e2bec5587-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,Monthly spend with 185a63c2-5614-4c7c-ad7a-985ba6bd8195 is 52403.3 (83%) higher than average,large_month_increase_mtd,vendor,d3be30b0-58dd-4ce7-aa71-a79e2bec5587,185a63c2-5614-4c7c-ad7a-985ba6bd8195
809c069a-2f5a-45b9-851f-30558af09c5d-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,Monthly spend with 185a63c2-5614-4c7c-ad7a-985ba6bd8195 is 69423.94 (110%) higher than average,large_month_increase_mtd,vendor,809c069a-2f5a-45b9-851f-30558af09c5d,185a63c2-5614-4c7c-ad7a-985ba6bd8195
a1bc63ff-fac3-4b78-9c65-62621bd6c9a3-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,Monthly spend with 185a63c2-5614-4c7c-ad7a-985ba6bd8195 is 63471.2 (100%) higher than average,large_month_increase_mtd,vendor,a1bc63ff-fac3-4b78-9c65-62621bd6c9a3,185a63c2-5614-4c7c-ad7a-985ba6bd8195
95f74196-f1c4-4dcf-9fde-0a94c9394e27-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,Monthly spend with 185a63c2-5614-4c7c-ad7a-985ba6bd8195 is 43569.53 (69%) higher than average,large_month_increase_mtd,vendor,95f74196-f1c4-4dcf-9fde-0a94c9394e27,185a63c2-5614-4c7c-ad7a-985ba6bd8195
c2ba7b12-d898-4be1-94e6-743e9300cdaa-185a63c2-5614-4c7c-ad7a-985ba6bd8195,2020-12-21,Monthly spend with 185a63c2-5614-4c7c-ad7a-985ba6bd8195 is 55259.44 (87%) higher than average,large_month_increase_mtd,vendor,c2ba7b12-d898-4be1-94e6-743e9300cdaa,185a63c2-5614-4c7c-ad7a-985ba6bd8195
e1ae60d0-2ccf-49c9-be3b-0b98b848374c-6d6ba618-a83e-4ced-a422-920641a7096c,2020-12-21,Monthly spend with 6d6ba618-a83e-4ced-a422-920641a7096c is 134630.37 (213%) higher than average,large_month_increase_mtd,vendor,e1ae60d0-2ccf-49c9-be3b-0b98b848374c,6d6ba618-a83e-4ced-a422-920641a7096c
93ef636a-6425-4eee-833c-74a6d1311d16-70315900-7b11-4836-ad62-c71e4864af85,2020-12-21,Monthly spend with 70315900-7b11-4836-ad62-c71e4864af85 is 37928.69 (60%) higher than average,large_month_increase_mtd,vendor,93ef636a-6425-4eee-833c-74a6d1311d16,70315900-7b11-4836-ad62-c71e4864af85
