glean_id,glean_date,glean_text,glean_type,glean_location,invoice_id,canonical_vendor_id
1136d6cd-6231-4513-b0a8-56d73da9aed3-b46d7ca6-ca5f-44ce-afc8-d492f69c7e32,2020-12-21,Monthly spend with b46d7ca6-ca5f-44ce-afc8-d492f69c7e32 is 43787.6 (69%) higher than average,large_month_increase_mtd,vendor,1136d6cd-6231-4513-b0a8-56d73da9aed3,b46d7ca6-ca5f-44ce-afc8-d492f69c7e32
8cd99b38-07df-45d6-a448-5fd6b71715d1-5563cff8-b050-45e9-89d3-eb079dfeb12a,2020-12-21,Monthly spend with 5563cff8-b050-45e9-89d3-eb079dfeb12a is 71581.26 (113%) higher than average,large_month_increase_mtd,vendor,8cd99b38-07df-45d6-a448-5fd6b71715d1,5563cff8-b050-45e9-89d3-eb079dfeb12a
572b81e6-7592-47f3-82a7-508f16c6332e-5563cff8-b050-45e9-89d3-eb079dfeb12a,2020-12-21,Monthly spend with 5563cff8-b050-45e9-89d3-eb079dfeb12a is 40875.59 (65%) higher than average,large_month_increase_mtd,vendor,572b81e6-7592-47f3-82a7-508f16c6332e,5563cff8-b050-45e9-89d3-eb079dfeb12a
58cd4801-bdd8-4f3b-909a-87d2ee149fe1-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 62603.13 (99%) higher than average,large_month_increase_mtd,vendor,58cd4801-bdd8-4f3b-909a-87d2ee149fe1,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
acc90614-f1a1-427b-80fa-320f670a38a9-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 193273.04 (306%) higher than average,large_month_increase_mtd,vendor,acc90614-f1a1-427b-80fa-320f670a38a9,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
b6626722-5646-4b63-9a91-9a9b027daa02-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 186237.95 (295%) higher than average,large_month_increase_mtd,vendor,b6626722-5646-4b63-9a91-9a9b027daa02,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
ba2d4403-0d3e-4780-9087-b50e10b8856c-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 208420.62 (330%) higher than average,large_month_increase_mtd,vendor,ba2d4403-0d3e-4780-9087-b50e10b8856c,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
6a94a9f6-3ddb-4cb0-a951-edc2aab1ab02-698dbb4b-8a8a-4b09-8eef-c60f7c0470e5,2020-12-21,Monthly spend with 698dbb4b-8a8a-4b09-8eef-c60f7c0470e5 is 40693.01 (64%) higher than average,large_month_increase_mtd,vendor,6a94a9f6-3ddb-4cb0-a951-edc2aab1ab02,698dbb4b-8a8a-4b09-8eef-c60f7c0470e5
db45dfe4-13cf-4413-b243-d6e9921d00e9-0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0,2020-12-21,Monthly spend with 0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0 is 38071.666666666664 (60%) higher than average,large_month_increase_mtd,vendor,db45dfe4-13cf-4413-b243-d6e9921d00e9,0fe5f1a4-849a-4e7c-bb11-00e5e9d6cec0
f1c21ebb-23f6-4d61-97ef-b1cc9b1e659e-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 183985.7 (291%) higher than average,large_month_increase_mtd,vendor,f1c21ebb-23f6-4d61-97ef-b1cc9b1e659e,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
fc053afd-37fb-486b-a3ee-b29673d58950-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 177369.9 (281%) higher than average,large_month_increase_mtd,vendor,fc053afd-37fb-486b-a3ee-b29673d58950,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
1312caaf-be15-4d22-ad7b-06368242784a-7409fa50-fde9-4939-8efe-dc73cbd1e9c7,2020-12-21,Monthly spend with 7409fa50-fde9-4939-8efe-dc73cbd1e9c7 is 181845.37 (288%) higher than average,large_month_increase_mtd,vendor,1312caaf-be15-4d22-ad7b-06368242784a,7409fa50-fde9-4939-8efe-dc73cbd1e9c7
